phrase,definition,example,ipa
a double-edged sword,something that has both positive and negative effects,"Social media can be a double-edged sword for brand reputation.
Mạng xã hội có thể là con dao hai lưỡi đối với danh tiếng thương hiệu.",/ə ˈdʌbəl ɛdʒd sɔːrd/
the tip of the iceberg,"a small, visible part of a much larger problem","The reported losses are just the tip of the iceberg.
Những khoản lỗ được báo cáo chỉ là phần nổi của tảng băng chìm.",/ðə tɪp ʌv ðə ˈaɪsbɜːrɡ/
read between the lines,to understand a hidden meaning,"You have to read between the lines to understand what the client really wants.
Bạn phải hiểu ý ẩn đằng sau lời nói để biết khách hàng thực sự muốn gì.",/riːd bɪˈtwiːn ðə laɪnz/
a game changer,something that completely changes a situation,"The new technology could be a game changer for the industry.
Công nghệ mới này có thể là yếu tố thay đổi cuộc chơi cho cả ngành.",/ə ɡeɪm ˈtʃeɪndʒər/
in the pipeline,being planned or developed,"Several new features are currently in the pipeline.
Hiện có một số tính năng mới đang trong quá trình phát triển.",/ɪn ðə ˈpaɪplaɪn/
on the fence,undecided about something,"The board is still on the fence about the acquisition.
Hội đồng quản trị vẫn còn đang phân vân, chưa quyết định về vụ thâu tóm này.",/ɑːn ðə fɛns/
a slippery slope,a course of action likely to lead to something bad,"Cutting corners on safety is a slippery slope.
Việc cắt giảm các tiêu chuẩn an toàn là một con đường dễ dẫn đến hậu quả nghiêm trọng.",/ə ˈslɪpəri sloʊp/
par for the course,typical; to be expected,"Delays like this are par for the course in construction projects.
Những sự chậm trễ như thế này là chuyện bình thường, có thể lường trước trong các dự án xây dựng.",/pɑːr fɔːr ðə kɔːrs/
a level playing field,a situation in which everyone has an equal chance,"Regulators want to ensure a level playing field for all competitors.
Các cơ quan quản lý muốn đảm bảo một sân chơi công bằng cho tất cả các đối thủ cạnh tranh.",/ə ˈlɛvəl ˈpleɪɪŋ fiːld/
back to square one,back to the starting point,"After the deal collapsed, we were back to square one.
Sau khi thương vụ đổ bể, chúng tôi lại phải quay về vạch xuất phát.",/bæk tuː skwɛr wʌn/
the elephant in the room,an obvious problem no one wants to discuss,"Declining sales were the elephant in the room during the meeting.
Doanh số sụt giảm là vấn đề rõ ràng mà không ai muốn nhắc đến trong cuộc họp.",/ðiː ˈɛlɪfənt ɪn ðə ruːm/
a blessing in disguise,something that seems bad at first but turns out well,"Losing that client turned out to be a blessing in disguise.
Việc mất khách hàng đó hóa ra lại là một điều may mắn trong rủi ro.",/ə ˈblɛsɪŋ ɪn dɪsˈɡaɪz/
cut corners,"to do something in the easiest or cheapest way, often sacrificing quality","The contractor cut corners to finish the project on time.
Nhà thầu đã làm ẩu, bớt xén để hoàn thành dự án đúng hạn.",/kʌt ˈkɔːrnərz/
hit the ground running,to start something and proceed quickly,"The new hire hit the ground running on her first day.
Nhân viên mới đã bắt tay vào việc rất nhanh chóng ngay từ ngày đầu tiên.",/hɪt ðə ɡraʊnd ˈrʌnɪŋ/
