phrase,definition,example,ipa
Model drift,The gradual decline in a model's accuracy as real-world data changes over time.,"We monitor model drift monthly to ensure predictions stay accurate.
Chúng tôi theo dõi hiện tượng model drift hàng tháng để đảm bảo dự đoán vẫn chính xác.",/ˈmɑːdəl drɪft/
Hallucination rate,The frequency with which an AI model generates false or fabricated information.,"The client asked us to benchmark the hallucination rate before go-live.
Khách hàng yêu cầu chúng tôi đo hallucination rate trước khi triển khai chính thức.",/həˌluːsəˈneɪʃən reɪt/
Inference latency,The time it takes a model to produce an output after receiving a request.,"We reduced inference latency by 40% through model quantization.
Chúng tôi giảm 40% inference latency nhờ kỹ thuật quantization mô hình.",/ˈɪnfərəns ˈleɪtənsi/
Fine-tuning,The process of further training a pre-trained model on a specific dataset.,"Fine-tuning the base model on our client's support tickets improved accuracy significantly.
Việc fine-tuning mô hình gốc trên dữ liệu ticket hỗ trợ của khách hàng đã cải thiện độ chính xác đáng kể.",/ˈfaɪn ˈtuːnɪŋ/
Guardrails,Rules or constraints built into an AI system to prevent harmful or unwanted outputs.,"We implemented guardrails to stop the chatbot from giving financial advice.
Chúng tôi triển khai guardrails để ngăn chatbot đưa ra tư vấn tài chính.",/ˈɡɑːrdreɪlz/
Human-in-the-loop,A workflow design where a person reviews or approves AI-generated decisions.,"The approval process stays human-in-the-loop for high-risk transactions.
Quy trình phê duyệt vẫn giữ human-in-the-loop đối với các giao dịch rủi ro cao.",/ˈhjuːmən ɪn ðə luːp/
Red teaming,Deliberately testing an AI system for vulnerabilities or harmful behavior.,"Our security team conducted red teaming before the production release.
Đội bảo mật đã thực hiện red teaming trước khi phát hành bản chính thức.",/rɛd ˈtiːmɪŋ/
Ground truth,"Verified, accurate data used as the standard to measure a model's performance.","Without reliable ground truth, we can't validate the model's accuracy.
Nếu không có ground truth đáng tin cậy, chúng tôi không thể kiểm chứng độ chính xác của mô hình.",/ɡraʊnd truːθ/
Training data,The dataset used to teach a machine learning model.,"The client's training data contained several duplicate records.
Dữ liệu training data của khách hàng chứa nhiều bản ghi trùng lặp.",/ˈtreɪnɪŋ ˈdeɪtə/
Model degradation,A decline in model performance over time.,"Model degradation is common if the pipeline isn't retrained regularly.
Model degradation là hiện tượng phổ biến nếu pipeline không được huấn luyện lại thường xuyên.",/ˈmɑːdəl ˌdɛɡrəˈdeɪʃən/
