phrase,definition,example,ipa
mitigate,to make something less severe or serious,"The company introduced new policies to mitigate the impact of the recession.
Công ty đã đưa ra các chính sách mới để giảm thiểu tác động của suy thoái kinh tế.",/ˈmɪtɪɡeɪt/
leverage,to use something to maximum advantage,"We plan to leverage our existing client network to expand into new markets.
Chúng tôi dự định tận dụng mạng lưới khách hàng hiện có để mở rộng sang các thị trường mới.",/ˈlɛvərɪdʒ/
exacerbate,to make a problem or situation worse,"Rising fuel prices have exacerbated inflation across the region.
Giá nhiên liệu tăng đã làm trầm trọng thêm tình trạng lạm phát trong khu vực.",/ɪɡˈzæsərbeɪt/
underscore,to emphasize the importance of something,"The report underscores the need for stronger cybersecurity measures.
Báo cáo nhấn mạnh sự cần thiết phải có các biện pháp an ninh mạng chặt chẽ hơn.",/ˌʌndərˈskɔːr/
consolidate,"to combine things into a single, more effective whole","The two companies decided to consolidate their operations to cut costs.
Hai công ty quyết định hợp nhất hoạt động để cắt giảm chi phí.",/kənˈsɑːlɪdeɪt/
advocate,to publicly support or recommend a cause or policy,"Several lawmakers advocate for stricter data privacy regulations.
Một số nhà lập pháp ủng hộ việc ban hành các quy định bảo mật dữ liệu chặt chẽ hơn.",/ˈædvəkeɪt/
curtail,to reduce or limit something,"The government plans to curtail public spending next fiscal year.
Chính phủ dự định cắt giảm chi tiêu công trong năm tài khóa tới.",/kɜːrˈteɪl/
galvanize,to shock or excite someone into taking action,"The scandal galvanized public opinion against the ruling party.
Vụ bê bối đã khiến dư luận phản ứng mạnh mẽ chống lại đảng cầm quyền.",/ˈɡælvənaɪz/
circumvent,to find a way around an obstacle or rule,"Some firms use offshore accounts to circumvent tax regulations.
Một số công ty sử dụng tài khoản ở nước ngoài để lách các quy định về thuế.",/ˌsɜːrkəmˈvɛnt/
proliferate,to increase rapidly in number,"Fake news has proliferated across social media platforms.
Tin giả đã lan tràn nhanh chóng trên các nền tảng mạng xã hội.",/prəˈlɪfəreɪt/
undermine,to weaken or damage something gradually,"Corruption continues to undermine public trust in the government.
Tham nhũng tiếp tục làm suy yếu lòng tin của người dân vào chính phủ.",/ˌʌndərˈmaɪn/
bolster,to support or strengthen something,"The central bank cut interest rates to bolster economic growth.
Ngân hàng trung ương đã hạ lãi suất để thúc đẩy tăng trưởng kinh tế.",/ˈboʊlstər/
streamline,to make a process more efficient,"The new software helps streamline the approval process.
Phần mềm mới giúp tinh gọn quy trình phê duyệt.",/ˈstriːmlaɪn/
facilitate,to make an action or process easier,"The agreement is expected to facilitate trade between the two countries.
Thỏa thuận này được kỳ vọng sẽ tạo điều kiện thuận lợi cho thương mại giữa hai nước.",/fəˈsɪlɪteɪt/
jeopardize,to put something at risk,"The delay could jeopardize the entire project timeline.
Sự chậm trễ này có thể gây nguy hiểm cho toàn bộ tiến độ dự án.",/ˈdʒɛpərdaɪz/
alleviate,to make suffering or a problem less severe,"The subsidy is designed to alleviate financial pressure on low-income families.
Khoản trợ cấp này được thiết kế để giảm bớt áp lực tài chính cho các gia đình thu nhập thấp.",/əˈliːvieɪt/
capitalize,to take advantage of an opportunity,"The startup capitalized on the surge in remote work demand.
Công ty khởi nghiệp này đã tận dụng sự gia tăng nhu cầu làm việc từ xa.",/ˈkæpɪtəlaɪz/
