phrase,definition,example,ipa
arguably,used to say that a statement is probably true,"This is arguably the company's most important product launch.
Có thể nói đây là đợt ra mắt sản phẩm quan trọng nhất của công ty.",/ˈɑːrɡjuəbli/
ostensibly,"as appears to be true, though not necessarily so","The meeting was ostensibly about budget, but really about layoffs.
Cuộc họp bề ngoài là về ngân sách, nhưng thực chất là về việc sa thải.",/ɑːˈstɛnsɪbli/
inevitably,as is certain to happen,"Costs will inevitably rise as the project scales.
Chi phí chắc chắn sẽ tăng lên khi dự án được mở rộng quy mô.",/ɪnˈɛvɪtəbli/
notwithstanding,in spite of,"Notwithstanding the delays, the project remains on budget.
Mặc dù có sự chậm trễ, dự án vẫn nằm trong ngân sách cho phép.",/ˌnɑːtwɪθˈstændɪŋ/
albeit,although,"Sales improved, albeit slower than analysts had hoped.
Doanh số đã cải thiện, dù chậm hơn so với kỳ vọng của các nhà phân tích.",/ɔːlˈbiːɪt/
henceforth,from this time on,"Henceforth, all reports must be submitted electronically.
Kể từ nay, tất cả báo cáo phải được nộp qua hình thức điện tử.",/hɛnsˈfɔːrθ/
conversely,in a way that is opposite to something already mentioned,"Conversely, smaller firms have adapted more quickly to the change.
Ngược lại, các công ty nhỏ hơn đã thích ứng với sự thay đổi nhanh hơn.",/kənˈvɜːrsli/
nonetheless,in spite of that,"The market is uncertain; nonetheless, we remain optimistic.
Thị trường vẫn còn nhiều bất định; tuy nhiên, chúng tôi vẫn giữ thái độ lạc quan.",/ˌnʌnðəˈlɛs/
invariably,in every case; always,"Negotiations invariably take longer than expected.
Các cuộc đàm phán luôn luôn kéo dài hơn dự kiến.",/ɪnˈvɛriəbli/
purportedly,"as claimed, though not proven","The firm purportedly used customer data without consent.
Công ty được cho là đã sử dụng dữ liệu khách hàng mà không có sự đồng ý.",/pərˈpɔːrtɪdli/
undoubtedly,without doubt; certainly,"This is undoubtedly the toughest quarter the company has faced.
Đây chắc chắn là quý khó khăn nhất mà công ty từng đối mặt.",/ʌnˈdaʊtɪdli/
presumably,used to convey that something is assumed to be true,"Presumably, the price will drop once supply increases.
Có lẽ giá sẽ giảm khi nguồn cung tăng lên.",/prɪˈzuːməbli/
